id,sku,title,description,barcode,category,images,retail_value,selling_value,cost_price,quantity,unit,tags,metadata_supplier,metadata_sku_family,skip_vectorize,vectorize_status,vector_id,created_at,updated_at
1,P-000001,Essence Mascara Lash Princess,High-quality essence mascara lash princess from Essence. Perfect for everyday use.,5796741327325,Beauty & Personal Care,"[""https://cdn.dummyjson.com/products/images/beauty/Essence%20Mascara%20Lash%20Princess/1.png""]",9.99,8.63,7.57,5,pcs,"[""beauty"", ""essence"", ""mascara""]",Essence,ESSENCE-1,true,queued,pos-brain:vec_6xp15hm6pp68,2026-06-03T23:56:00.000Z,2026-06-03T12:54:00.000Z
2,P-000002,Eyeshadow Palette with Mirror,High-quality eyeshadow palette with mirror from Glamour Beauty. Perfect for everyday use.,5527023736795,Beauty & Personal Care,"[""https://cdn.dummyjson.com/products/images/beauty/Eyeshadow%20Palette%20with%20Mirror/1.png""]",19.99,13.61,9.39,44,pcs,"[""beauty"", ""glamour-beauty"", ""eyeshadow"", ""palette""]",Glamour Beauty,GLAMOUR-BEAUTY-2,true,queued,pos-brain:vec_0nh96h6n89go,2026-06-03T22:53:00.000Z,2026-06-05T04:02:00.000Z
3,P-000003,Powder Canister,High-quality powder canister from Velvet Touch. Perfect for everyday use.,2397363457882,Beauty & Personal Care,"[""https://cdn.dummyjson.com/products/images/beauty/Powder%20Canister/1.png""]",14.99,13.22,11.17,59,pcs,"[""beauty"", ""velvet-touch"", ""powder"", ""canister""]",Velvet Touch,VELVET-TOUCH-3,true,done,pos-brain:vec_e9czs5hkmp2k,2026-06-04T11:53:00.000Z,2026-06-04T12:19:00.000Z
4,P-000004,Red Lipstick,High-quality red lipstick from Chic Cosmetics. Perfect for everyday use.,7571740031812,Beauty & Personal Care,"[""https://cdn.dummyjson.com/products/images/beauty/Red%20Lipstick/1.png""]",12.99,10.74,8.88,68,pcs,"[""beauty"", ""chic-cosmetics"", ""lipstick""]",Chic Cosmetics,CHIC-COSMETICS-4,true,queued,,2026-06-01T16:17:00.000Z,2026-06-05T23:30:00.000Z
5,P-000005,Red Nail Polish,High-quality red nail polish from Nail Couture. Perfect for everyday use.,5867816263735,Beauty & Personal Care,"[""https://cdn.dummyjson.com/products/images/beauty/Red%20Nail%20Polish/1.png""]",8.99,6.74,5.4,71,pcs,"[""beauty"", ""nail-couture"", ""nail""]",Nail Couture,NAIL-COUTURE-5,true,,pos-brain:vec_1zn3wf2crmb4,2026-06-03T01:06:00.000Z,2026-06-03T19:52:00.000Z
6,P-000006,Calvin Klein CK One,High-quality calvin klein ck one from Calvin Klein. Perfect for everyday use.,7018542720953,Fragrances,"[""https://cdn.dummyjson.com/products/images/fragrances/Calvin%20Klein%20CK%20One/1.png""]",49.99,37.85,26.59,17,pcs,"[""fragrances"", ""calvin-klein"", ""calvin"", ""klein""]",Calvin Klein,CALVIN-KLEIN-6,true,done,pos-brain:vec_xtyiha1aimoy,2026-06-05T04:18:00.000Z,2026-06-03T04:21:00.000Z
7,P-000007,Chanel Coco Noir Eau De Parfum,High-quality chanel coco noir eau de parfum from Chanel. Perfect for everyday use.,0161379150309,Fragrances,"[""https://cdn.dummyjson.com/products/images/fragrances/Chanel%20Coco%20Noir%20Eau%20De/1.png""]",129.99,111.23,78.88,41,pcs,"[""fragrances"", ""chanel"", ""coco""]",Chanel,CHANEL-7,true,done,pos-brain:vec_tr7n021dsw74,2026-06-05T11:21:00.000Z,2026-06-01T22:22:00.000Z
8,P-000008,Dior J'adore,High-quality dior j'adore from Dior. Perfect for everyday use.,4146272708117,Fragrances,"[""https://cdn.dummyjson.com/products/images/fragrances/Dior%20J'adore/1.png""]",89.99,70.69,55.51,91,pcs,"[""fragrances"", ""dior"", ""j'adore""]",Dior,DIOR-8,true,failed,pos-brain:vec_m002ggmq27q7,2026-06-01T07:28:00.000Z,2026-06-05T22:47:00.000Z
9,P-000009,Dolce Shine Eau de Parfum,High-quality dolce shine eau de parfum from Dolce & Gabbana. Perfect for everyday use.,7864472731709,Fragrances,"[""https://cdn.dummyjson.com/products/images/fragrances/Dolce%20Shine%20Eau%20de/1.png""]",69.99,65.29,50.87,3,pcs,"[""fragrances"", ""dolce-&-gabbana"", ""dolce"", ""shine""]",Dolce & Gabbana,DOLCE-&-GABBANA-9,true,done,pos-brain:vec_21twnbzrt6dw,2026-06-03T12:09:00.000Z,2026-06-03T22:22:00.000Z
10,P-000010,Gucci Bloom Eau de Parfum,High-quality gucci bloom eau de parfum from Gucci. Perfect for everyday use.,1195363280107,Fragrances,"[""https://cdn.dummyjson.com/products/images/fragrances/Gucci%20Bloom%20Eau%20de/1.png""]",79.99,71.85,61.96,93,pcs,"[""fragrances"", ""gucci"", ""bloom""]",Gucci,GUCCI-10,true,queued,pos-brain:vec_tdito8hwzbmb,2026-06-04T08:55:00.000Z,2026-06-04T08:27:00.000Z
